aspiration pneumonitis	is a type of	pneumonitis
aspiration pneumonitis	can lead to	pneumonia
patient with aspiration pneumonitis	may present with	cough and shortness of breath
aspiration pneumonitis	can be caused by	food/vomitus
aspiration pneumonitis	is diagnosed by	chest x-ray
aspiration pneumonitis	is treated with	antibiotics
aspiration pneumonitis	may result in	respiratory failure
aspiration pneumonitis	can lead to	sepsis
aspiration pneumonitis	is a risk factor for	aspiration pneumonia
patient with aspiration pneumonitis	has an increased risk of	mortality
aspiration pneumonitis	may require	mechanical ventilation
aspiration pneumonitis	increases the likelihood of	hospital readmission
aspiration pneumonitis	may cause	lung abscesses
aspiration pneumonitis	can lead to	respiratory distress syndrome
aspiration pneumonitis	is associated with	gastroesophageal reflux
aspiration pneumonitis	may result in	ARDS (acute respiratory distress syndrome)
aspiration pneumonitis	can lead to	pulmonary fibrosis
aspiration pneumonitis	can be prevented by	maintaining proper airway protection
aspiration pneumonitis	is often complicated by	pleural effusion
aspiration pneumonitis	may lead to	bronchiectasis
aspiration pneumonitis	is linked to	decreased lung function
elderly patients with aspiration pneumonitis	are at higher risk of	morbidity and mortality
aspiration pneumonitis	can cause	chronic cough
aspiration pneumonitis	increases the risk of	bacterial pneumonia
aspiration pneumonitis	is associated with	impaired swallowing function
aspiration pneumonitis	can result in	lung scarring
aspiration pneumonitis	is frequently seen in	patients with altered mental status
aspiration pneumonitis	can lead to	hypoxia
aspiration pneumonitis	may occur in	patients with neurological disorders
aspiration pneumonitis	is a complication of	anesthesia
aspiration pneumonitis	is linked to	decreased quality of life
aspiration pneumonitis	may require	bronchoscopy
aspiration pneumonitis	can result in	atelectasis
aspiration pneumonitis	is common in	patients with dysphagia
aspiration pneumonitis	may lead to	pleurisy
aspiration pneumonitis	can cause	respiratory insufficiency
aspiration pneumonitis	is a risk factor for	aspiration of gastric contents
aspiration pneumonitis	requires	respiratory support
aspiration pneumonitis	can lead to	acute lung injury
aspiration pneumonitis	is associated with	prolonged hospital stay
aspiration pneumonitis	may require	enteral feeding
aspiration pneumonitis	can result in	chronic respiratory failure
