benign neoplasm	is a type of	tumor
benign neoplasm of uterus	may cause	abnormal uterine bleeding
hysteroscopy	is used to diagnose	benign neoplasm of uterus
benign neoplasm of uterus	is typically treated with	hysterectomy
patient	may experience	pelvic pain due to benign neoplasm of uterus
benign neoplasm of uterus	can lead to	infertility
benign neoplasm of uterus	has a risk of	reoccurrence
benign neoplasm of uterus	is detected through	pelvic ultrasound
hormonal therapy	may be used to shrink	benign neoplasm of uterus
benign neoplasm of uterus	is associated with	estrogen dominance
benign neoplasm of uterus	can be classified as	fibroids or polyps
benign neoplasm of uterus	is more common in	women of reproductive age
benign neoplasm of uterus	can cause	pressure on the bladder
benign neoplasm of uterus	is linked to	heavy menstrual bleeding
benign neoplasm of uterus	is unlikely to become	cancerous
benign neoplasm of uterus	is detected through	pelvic exam
benign neoplasm of uterus	rarely causes	symptoms
benign neoplasm of uterus	has a higher incidence in	African American women
benign neoplasm of uterus	is also known as	uterine fibroids
